Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
Windish RV Center Inc. - Lakewood,A,50+,300,Over 50,Multi,ADP,
Windish RV Center Inc. - Longmont,A,50+,300,Over 50,Multi,ADP,
Windjammer Investments Inc,no rating,,,,,ADP,
Windmill Auto Sales,no rating,,,,,,
Windom Auto Outlet LLC,,,,,,,
Wind Rider Auto Outlet Inc,C,16-30,73,,,,
Wind River Harley-Davidson,,,,,,,
Windsor Acceptance Company,,,,,,FEX (FinanceExpress),
Windsor Autohauz Inc,no rating,,,,,,
Windsor Auto Sales,B,31-49,75,0-5,Single,Frazer,
Windsor Auto Sales,C,16-30,60,0-5,Single,Other,century
Windsor Chrysler,no rating,,713,,,,
Windsor Ford Sales,B,0-100,300,10-Jun,Single,PBS,
Windsor Honda,no rating,,,,,PBS,PBS
Windsor Hyundai,no rating,,,,,,
Windsor Mazda,C,0-100,56,0-5,Multi Point,Reynolds,
Windsor Nissan,A,101-175,299,6/10/2015 0:00,Single,ADP,ADP
Windsor Pre Owned Auto Sales,no rating,,,,,,
Windward Dodge Chrysler Jeep,A,0-100,246,11/15/2015 0:00,Multi,ADP,
Windward Ford of Hawaii,B,0-100,141,6/10/2015 0:00,Multi,ADP,
Windward Hyundai,B,0-100,180,,Single,ADP,
Windy Chevrolet,no rating,,63,,,AutoMate,
Windy City Motors,A,50+,200,,,DealerCenter (Westlake),
Windy City Motors,B,,115,,,AutoManager (DeskManager),
"Windy City Motorsports, Inc.",,,,,,,
Windy City Muscle Cars,no rating,,,,,,
Windy Hill Auto & Truck Sales,no rating,,,,,,
Windy Hill Imports,no rating,,,,,,
Windy Shope's Integrity Auto Sales,no rating,,,,,,
Winebarger Motor Company,no rating,,11,,,,
Winebarger Motors Inc,,,,,,,
Winebrenner American Motorcycles,no rating,,,,,,
Winegard Lincoln ,B,0-100,125,10-Jun,Multi Point,PBS,
Winegardner Buick GMC,B,0-100,126,6/10/2015 0:00,Multi,Reynolds,
Winegardner GMC Buick of Prince Frederick,no rating,,105,,,,
Winegardner Motor Company,no rating,,141,,,,
Winfall Auto Tech & Sales LP,no rating,,,,,,
Winfield Motor Co,,,,,,,
Winfield Motor Company,C,0-100,64,,Single,Delete,
Winfreys Used Cars,D,15-Jan,6,0-5,,None,
Wingard Auto Ranch,,,,,,,
Wing Auto Sales,No rating,,,,,,
Wingert Motors Car Dealers,D,15-Jan,15,0-5,Single,,
Wingman Automotive,,,,,,,
Wing Motors Automobile Corp.,C,16-30,50,0-5,Single,Frazer,
Wingo Automotive LLC,D,15-Jan,20,0-5,,,
Wings & Wheels LLC,D,15-Jan,30,0-5,Single,None,
Wings Auto Sales,,,,,,,
Wings N Things,,,,,,,
WIN HYUNDAI CARSON,A,0-100,445,11/15/2015 0:00,Multi,ADP,
Win Hyundai Inc,A,101-175,370,,Multi,ADP,
Win Kelly Chevrolet Buick GMC,A,,484,,,,
Winkle Auto Sales,,,,,,,
Winnebago Industries,,,,,,,
Winnebago Industries Inc,,,,,,,
Winnebago Industries Inc,,,,,,,
Winnebago Motor Homes-Trailer,,,,,,,
Winner's Circle Auto Center,B,,100,,,,
Winner's Circle Auto Sales,D,15-Jan,,0-5,Single,None,
Winner's Circle Used Cars,D,15-Jan,10,0-5,Single,None,
Winner Autoworld,B,,100,,,,
Winner Auto World,,,,,,,
Winner Chevrolet,A,,211,,Multi,,
Winner Chevrolet,B,0-100,96,,Single,ADP,
Winner Ford,A,101-175,632,11/15/2015 0:00,Multi,Reynolds,
Winner Ford,A,101-175,151,6/10/2015 0:00,Multi,ADP,
Winner Hyundai,No rating,,,,,,
Winners Auto,no rating,,,,,,
Winners Circle Auto Exchange,D,15-Jan,40,0-5,Single,Other,
Winners Circle Auto Sales,B,16-30,100,10-Jun,Single,DealerCenter (Westlake),
Winners Group Motors,no rating,,,,,,
Winner Subaru,no rating,0-100,88,6/10/2015 0:00,Multi,ADP,
Winner Volkswagen,No rating,,106,,,,
Winn Hyundai of Santa Maria,no rating,,149,,,Other,Other
Winnie Auto Sales,C,16-30,60,0-5,Single,None,
Winnie Chrysler Dodge Jeep Ram,no rating,,240,,,,
"Winning Enterprises, LLC",A,,150,,Multi,,
Winning Group of America Inc,,,,,,,
Winnipeg C Motors LP,A,101-175,340,15-Nov,,ADP,
Winnipeg Dodge Chrysler Ltd,no rating,101-175,554,,,ADP,
Winnipeg Honda,no rating,,,,,Reynolds,Reynolds
Winnipeg Hyundai,B,0-100,180,10-Jun,,ADP,ADP
Winnipeg Kia,no rating,,,,,,
Winnipeg Limousine Svc,,,,,,,
Winnisquam Auto,C,16-30,70,0-5,Multi Point,Frazer,
Winn Kia,no rating,,210,,,ADP,ADP
Winn Volkswagen,No rating,,,,,,
Winn Volkswagen,C,0-100,199,6/10/2015 0:00,Single,Other,
Winn Volkswagen Woodland Hills,,,,,,,
Winola Auto Sales LLC,,,,,,,
Winona Auto Sales,no rating,,,,,,
Winslow BMW of Colorado Springs,C,0-100,172,6/10/2015 0:00,Single,DealerTrack(Arkona),DealerTrack(Arkona)
Winslow Ford,A,0-100,301,11/15/2015 0:00,Multi,DealerTrack,
Winslows Sales,,,,,,,
Winston Auto Group,no rating,,,,,,
Winter Chevrolet,No rating,,261,,,,
Winter Haven Honda,no rating,,179,,,Other,
Winter Honda,no rating,,138,,,ADP,
Winter Motor Co. Inc.,A,50+,,10-Jun,Single,None,
"Winter Park Auto Exchange, Inc.",A,,,,,FEX( FinanceExpress),
Winter Park Auto Mall,C,16-30,40,0-5,Single,Wayne Reaves,
"Winters Automotive, LLC",D,15-Jan,12,0-5,Single,Frazer,
Winthrop Street Motors Inc,B,31-49,80,0-5,Single,DealerClick,
Winway Motors,,,,,,,
Win Win Auto Center,D,15-Jan,20,0-5,Single,,
Winwood Auto Sales LLC,,,,,,,
Winwood Motor Co,no rating,,,,,,
winxnet,,,,,,,
Wiregrass Auto Sales Inc.,C,16-30,,0-5,Single,,
Wire Wheel Classic Sports Cars,D,15-Jan,15,0-5,Single,None,
Wiscarsin,,,,,,,
Wiscasset Ford,no rating,,643,,,ADP,ADP
Wisconsin Harley-Davidson,,,,,,,
Wisdom Auto Sales,D,15-Jan,11,0-5,,None,
Wise Auto,,,,,,,
Wise Auto Brokers LLC,D,15-Jan,20,0-5,Single,Wayne Reaves,
Wise Auto Sales,no rating,,,,,,
Wise Auto Service,no rating,,,,,,
Wise Car & Truck Co.,C,15-Jan,30,0-5,Multi,Other,CarsPlus
Wise Choice Car Sales,no rating,,,,,,
Wiseman Motor Co. Inc.,D,15-Jan,10,0-5,Single,None,
Wise Motors,C,16-30,30,0-5,Single,Frazer,
"Wise Motors, LLC",no rating,,50,,,FEX (FinanceExpress),
Wiser Motors,C,16-30,35,0-5,Single,None,
Wisneski Auto Sales,no rating,,27,,,,
Wissler Motors,B,,100,,,,
Wit's Wheels & Deals,D,15-Jan,25,0-5,Single,None,
Witham Auto Center,A,,139,11/15/2015 0:00,Multi,ADP,
Witham Auto Sales,A,0-100,27,,Multi,ADP,
Witham Auto Waterloo,No rating,,,,,ADP,
Withers Car Sales,no rating,,25,,,,
Withnell Hyundai,No rating,,222,,,,
Witt Auto Sales Inc,B,0-100,285,,Multi,AutoSoft,
Witt Buick Inc,C,0-100,69,,Single,AutoSoft,
Witt Family Ford,A,,250,,,,
Witt Lincoln,no rating,,224,,,,
Wittmeier Auto Center,B,101-175,300,,Multi,Reynolds,
Witt Motors Inc,C,16-30,35,0-5,Single,DealerSolutions (KGI),
Wittrock Motor Company,no rating,,150,,,,
Wizard Auto Specialties,,,,,,,
Wizard Lake Marine,no rating,,,,,,
WIZ AUTO SALES,,,,,,FEX (FinanceExpress),
Wiz Leasing Inc,A,,150,,,,
WK CDJR,,,,,,,
W-K Chevrolet Buick GMC Cadillac,no rating,101-175,351,11/15/2015 0:00,Single,AutoSoft,
WK Ford,,,,,,,
Wlofm CORPORATION,B,0-100,125,,Single,DealerTrack,
"Wlrs, Inc Dba Adventuremotorca",no rating,,,,,,
WLT Holdings Ltd.,B,0-100,97,10-Jun,Multi Point,Reynolds(ERA),
Wm. L Aurandt Auto Sales,no rating,,,,,,
WM Krotter Company,C,0-100,110,,Multi,AutoSoft,
"WMW Motors, Inc",no rating,,139,,,,
Woburn Toyota,C,,412,,,,
Woerth's Used Cars Inc.,B,31-49,50,10-Jun,Single,None,
Woerth Enterprises Used Auto Sales,D,15-Jan,30,0-5,Single,None,
Wofford Used Cars,D,15-Jan,,0-5,Single,None,
Wolcott Auto Exchange,D,15-Jan,10,0-5,Single,,
Wolcott Auto Sales,no rating,,,,,,
Wolf's Auto Outlet,,,,,,,
Wolf's Auto Outlet - DuBois,,,,,,,
Wolf Auto Center Bridgeport,C,16-30,50,0-5,Multi Point,AutoSoft,
Wolf Auto Center Scottsbluff,C,16-30,50,0-5,Multi Point,AutoSoft,
Wolf Auto Center Sidney,No rating,,40,0-5,Multi Point,AutoSoft,
"Wolf Auto Center Sterling, LLC",A,0-100,164,,Multi,AutoSoft,
Wolf Auto Group,C,16-30,50,0-5,Single,None,
Wolf Auto Kimball,no rating,,47,,Multi,,
Wolf Auto Ogallala,no rating,,68,,,,
Wolf BMW,,,,,,,
Wolfchase AutoFirst,,,,,,,
Wolfchase Auto Sales,C,16-30,25,0-5,Single,Frazer,
Wolfchase Chrysler Dodge Jee,no rating,,297,,,,
Wolfchase Honda - Bartlett,B,300+,620,,Multi,Delete,
Wolfchase Hyundai,A,101-175,269,6/10/2015 0:00,Multi,ADP,
Wolfchase Nissan,no rating,,592,,,,
Wolfchase Toyota,no rating,,579,,,Reynolds,Reynolds
Wolfe's Langlay Mazda,B,0-100,175,15-Nov,,PBS,
Wolfe's Volkswagon Service,no rating,,,,,,
Wolfe Brothers Auto,,,,,,,
Wolfe Enterprises,no rating,,,,,,
Wolfe Ford Inc,A,0-100,41,,Single,AutoSoft,
Wolfe Langley Mazda,no rating,,,,,PBS,PBS
Wolfe Mitsubishi,no rating,,,,,PBS,PBS
Wolfe Mobility,,,,,,,
Wolfe Subaru,C,0-100,175,10-Jun,,PBS,PBS
Wolfe Subaru Vancouver,no rating,,,,,PBS,PBS
Wolff Auto Sales,,,,,,,
Wolff Motor Co. Llc,B,31-49,100,10-Jun,Single,Adams,
Wolfgang's Auto Sales,B,31-49,,0-5,Single,Frazer,
Wolfie's Cars,,,,,,,
Wolfington Group Inc,,,,,,,
Wolf Luxury Investments,D,15-Jan,10,0-5,Single,None,
Wolf Motors Ford,A,101-175,150,6/10/2015 0:00,Single,DealerTrack(Arkona),
Wolf Motors Jordan,no rating,,400,,,,
"Wolford Automotive Sales,",D,15-Jan,11,0-5,,Wayne Reaves,
"Wolfpack Auto Group, LLC",no rating,,,0-5,Single,None,
Wolfson Used Cars Inc.,B,31-49,,10-Jun,Single,AutoManager (DeskManager),
Wolko Auto Sales,,,,,,,
Wollert Automotive LLC,B,31-49,100,21-30,Single,Quorum,
Wolters Kluwer Financial Services,,,,,,,
Woltz and Wind Ford,B,175-300,565,,Single,Other,Other
Wolverine Auto Brokers Inc.,A,31-49,28,15-Nov,Single,DealerTrack,
Wolverine Ford Truck Sales Inc,no rating,,4,,,,
Wolverine Harley-Davidson,,,,,,,
Womach Motors Inc.,D,15-Jan,9,0-5,,None,
Womack's Auto Sales,B,31-49,70,,,,
Womack Auto Sales,C,16-30,30,0-5,Single,Other,
Womack Auto Sales,C,16-30,50,10-Jun,Single,Wayne Reaves,
Womack Sunshine Ford,no rating,,92,0-5,Single,,
Women at the Wheel.net,,,,,,,
Wonderland Auto Mart,no rating,,,,,,
Wondries Toyota,B,,384,,,,
Wood's Auto Sales & Repairs,no rating,,,,,,
Woodall Auto Wholesale Inc.,A,,65,,,,
Woodard's Automotive,no rating,,,,,,
Woodard's Auto Sales,,,,,,,
Woodard's Auto Sales,D,15-Jan,20,0-5,Single,Frazer,
Woodard Auto & RV,D,15-Jan,8,0-5,Single,None,
Wood Auto Sales Inc.,C,16-30,40,0-5,Single,,
Wood Auto Sales - Pleasant Plains,D,15-Jan,2,0-5,Single,None,
Woodbine Chrysler Ltd,no rating,101-175,299,10-Jun,Multi Point,Oasis,
Woodbine Nissan,D,,,10-Jun,Multi Point,ADP,Using CT Wizard for F and I.
Woodbine Toyota,no rating,,,,,,
Woodbridge Auto Sales,C,16-30,63,0-5,Single,None,
Woodbridge Motors Lake Worth,A,50+,115,0-5,Single,Frazer,
Woodbridge Public Auto Auction,no rating,31-49,90,,,FEX( FinanceExpress),
Woodbridge Toyota,B,101-175,250,10-Jun,Multi Point,Reynolds,
Wood Brothers Auto Brokers,D,15-Jan,,0-5,Single,None,
Wood Brothers Auto Sales,B,31-49,,0-5,Single,None,
Woodbury Chevrolet,no rating,,99,,,ADP,
Woodbury Nissan,B,175-300,467,,Single,ADP,
Woodbys Rebuildables,D,15-Jan,20,0-5,Single,None,
Woodchester Nissan Inc.,C,101-175,500,10-Jun,Multi Point,Other,
Wood Chevrolet Inc,no rating,,71,,,,
Wood Chevrolet Plumville Inc,A,0-100,72,,Single,AutoSoft,
Woodchuck Inc,no rating,,,,,,
Woodcrest Trailer Sales,no rating,,,,,,
Woodfield Lexus,A,175-300,379,,Multi,Reynolds,
Woodfield Nissan,A,300+,693,,Multi,ADP,
Woodfin Auto Sales,D,15-Jan,50,0-5,Single,None,
Woodgrove Chrysler,no rating,0-100,200,10-Jun,Single,PBS,
Woodhaven Auto Sales Inc,D,15-Jan,15,0-5,Single,Wayne Reaves,
Woodhouse Chev Buick,B,101-175,,11/15/2015 0:00,Multi,DealerTrack(Arkona),
Woodhouse Ford-Chrysler,No rating,,,,,DealerTrack(Arkona),
Woodhouse Ford Chrysler of Blair,B,300+,1971,,Multi,Delete,
Woodhouse Ford Inc,No rating,300+,1863,,Multi,DealerTrack,
Woodhouse Ford Lincoln Mercury,No rating,,,,,,
Woodhouse Ford of Omaha,no rating,,420,,,,
Woodhouse Ford South Inc.,no rating,101-175,293,6/10/2015 0:00,Single,DealerTrack(Arkona),
Woodhouse Hyundai of Sioux City,C,0-100,282,,Multi,Delete,
Woodhouse Lincoln,no rating,,237,,Multi,DealerTrack(Arkona),
"Woodhouse Lincoln-Mercury, Inc.",,,,,,,
Woodhouse Mitsubishi Hyundai,No rating,,,,,,
Woodhouse Nissan,no rating,,436,,,DealerTrack(Arkona),
"Woodhouse Sioux City, Inc.",B,101-175,144,6/10/2015 0:00,Multi,DealerTrack(Arkona),
Woodhouse SW Inc,,,,,,,
"Woodhouse SW Omaha, Inc",,,,,,DealerTrack,
WOODLAKE MOTORS INC,A,,150,,,FEX (FinanceExpress),
Woodland Auto Sales,no rating,,,,,,
Woodland Hills Auto Sales,D,15-Jan,,0-5,Single,Frazer,
Woodland Hills Honda,No rating,,,,,,
Woodland Hills Quality Motors,D,15-Jan,20,0-5,Single,AutoManager (DeskManager),
Woodland Motors,B,,303,,,DealerTrack(Arkona),DealerTrack(Arkona)
Woodland Toyota,no rating,,,,,Reynolds,
Woodland Travel Center,,,,,,,
Woodmen Nissan,B,175-300,1213,,Single,Reynolds,
Wood Motor Co,,,,,,,
Wood Motor Company,,,,,,,
Wood Motor Company,D,15-Jan,20,0-5,Single,Other,Win cars
Wood Motor Company Chevrolet,A,0-100,165,6/10/2015 0:00,Single,Reynolds,
Wood Motor Company Nissan,,,,,,,
Wood Motor Inc. dba Tanner Motors and Professional Auto Leasing dba Tanner Nissan,no rating,,353,,,Reynolds,Reynolds
Wood Motors (1972) Limited,no rating,,177,,,,
Wood Motor Sales,D,15-Jan,15,0-5,Single,Wayne Reaves,
Woodridge Ford Lincoln,no rating,,,,,Reynolds,
Woodridge Ford Lincoln,no rating,,389,,,,
Woodridge Lincoln,no rating,,389,,,,
Woodruff Chevrolet Inc,B,0-100,118,,Multi,AutoSoft,
Woodrum Ford Lincoln,B,0-100,101,,Multi,Reynolds,
Woodrum Toyota of Macomb,B,0-100,175,,Single,Reynolds,
Woods Auto Sales,,15-Jan,,,,,
Woods Auto Sales,no rating,,,,,,
Woodsboro Auto Sales,,,,,,,
Woodsedge Associates,no rating,,,,,,
Woods Motor Company,,,,,,,
Woods Motor Company,no rating,,,,,,
Woodson Auto Sales,D,15-Jan,10,,,,
Woodson Honda,no rating,,274,,,ADP,ADP
Woodstock Auto Credit,B,31-49,50,0-5,Multi Point,Wayne Reaves,
Woodstock Chrysler Sales Ltd,no rating,,82,,,,
Woodstock Ford Sales Ltd,no rating,,6,,,ADP,
Woodstock Garage,no rating,,116,,,,AutoSoft
Woodstock Harley-Davidson,,,,,,,
Woodstock Harley-Davidson - New York,,,,,,,
Woodstock Hyundai,no rating,0-100,210,0-5,Multi Point,ADP,
Woodstock Nissan,,,,,,,
Woodstock Toyota,C,0-100,100,0-5,Multi Point,Reynolds,
Woodville Auto Finance,A,50+,260,0-5,Single,Other,CVMS
Woodward Automotive LLC,no rating,,50,,,,
Woodward Auto Sales & Service,D,15-Jan,20,0-5,Single,Frazer,
Woodway Car Center,A,50+,100,10-Jun,Multi,FEX (FinanceExpress),
WOOD WHEATON CHEVROLET CADILLAC BUICK GMC LTD,B,101-175,264,16-20,,ADP,
Wood Wheaton Honda,B,101-175,234,15-Nov,,ADP,
Wood Wheels Inc,D,15-Jan,25,0-5,Single,None,
Woodworth Chevrolet-Cadillac Inc,B,0-100,178,,Multi,Reynolds,
Woodworth Dodge Chrysler Ltd,no rating,,,,,,
Woody's Automotive Group,,,,,,,
Woody's Auto Sales,no rating,,29,,,,
Woody's Auto Sales,no rating,,64,,,,
"Woody's Auto Sales, Inc.",D,15-Jan,,,,,
Woody's Auto Sales Inc,D,15-Jan,15,0-5,Single,Frazer,
Woody's Auto Sales - Jackson,D,15-Jan,20,0-5,Single,None,
Woody's Convenience Store,no rating,,,,,,
Woody's Trailer World Ltd,no rating,,,,,,
Woody's Used Cars,D,15-Jan,11,0-5,Single,None,
Woody's Wheels,no rating,,,,,,
Woody Anderson Ford,A,175-300,913,,Single,DealerTrack,
Woodyard Auto Sales Inc.,C,16-30,42,,,,
Woody Buick GMC,A,101-175,717,,,AutoMate,
Woody Butts Automotive Inc.,C,16-30,48,0-5,Single,,
Woody Folsom's Nissan of Vidalia,no rating,,434,,Multi,,
Woody Folsom Automotive,,,,,,,
Woody Folsom Automotive Inc,B,101-175,785,11/15/2015 0:00,Multi,,
Woody Folsom CDJ,no rating,,,,,,
Woody Folsom Cdjr of Vidalia,No rating,,546,10-Jun,Multi Point,,
Woody Folsom Chevrolet,no rating,,,,,Reynolds,Reynolds
Woody Folsom Chrysler Dodge Jeep Ram,no rating,,707,,,,
Woody Folsom Ford,no rating,,579,,,Reynolds,Reynolds
Woody Motor Company Inc,A,,32,,,,
Woody Sander Ford Inc,A,101-175,238,6/10/2015 0:00,Single,ADP,
Woody Smith Ford,No rating,,,,,DealerTrack(Arkona),DealerTrack(Arkona)
Woody Smith Hyundai,C,0-100,179,0-5,Multi,DealerTrack(Arkona),DealerTrack(Arkona)
Woolsey Enterprises,C,16-30,60,0-5,Single,Frazer,
Woolwine Autoplex,B,31-49,50,0-5,Single,Other,Lenders
Woolwine Ford,A,101-175,476,11/15/2015 0:00,Single,Reynolds,
Wooster Chrysler Jeep Dodge Ram,no rating,,215,,,,
Worcester Outback,,,,,,,
Worden Martin Buick GMC,A,,218,,,,
Workhorst Manufacturing & Truck Sales,D,15-Jan,20,0-5,Single,None,
Workman Auto Inc.,B,31-49,50,10-Jun,Single,Frazer,
Workman Harley-Davidson,,,,,,,
Workman Motor Company,D,15-Jan,10,0-5,Single,None,
Work today Services,D,15-Jan,10,0-5,Single,None,
World's Best Auto,no rating,15-Jan,30,,,FEX (FinanceExpress),
World Auto,B,,126,,,Frazer,
World Auto,A,,,,,FEX (FinanceExpress),
World Auto,B,31-49,,,,,
World Auto,D,15-Jan,75,0-5,Single,Frazer,
World Auto Credit,B,31-49,44,0-5,Single,Wayne Reaves,
World Auto Group Inc,no rating,,262,,,,
World Auto Net,,,,,,,
World Auto Network,A,50+,120,10-Jun,Single,Frazer,
World Auto of Greenville,,,,,,,
World Auto Sales,no rating,,15,,,,
WORLD AUTO SALES INC,B,,100,,,,
World Car Center & Financing,A,50+,140,0-5,Single,Wayne Reaves,
World Car Kia New Braunfels,A,,384,,Multi,,
World Car Kia South,,,,,,,
World Car Mazda,,,,,,,
World Car Nissan,,,,,,,
World Cars Credit,no rating,,,,,Frazer,
World Cars Hyundai,D,0-100,200,10-Jun,Multi Point,Serti,
World Cars Kia,D,0-100,300,10-Jun,Multi Point,Serti,
World Class Auto Exchange,no rating,,,,,FEX (FinanceExpress),
World Class Auto Inc,,,,,,,
World Class Auto Mart,no rating,,,,,,
World Class Automobiles,,,,,,,
World Class Autos,B,31-49,70,0-5,Single,,
World Class Auto Sales,no rating,,,,,,
World Class Autos Llc,no rating,,,,,,
World Class Exotics,No rating,,,,,,
World Class Motorcars - Chesterfield,D,15-Jan,50,0-5,Single,Other,AutoRevo
World Class Motors Inc,C,16-30,42,0-5,Single,Other,
WORLD CLASS MOTORS LLC,,,,,,,
World Class Motors Llc,B,,100,,,Frazer,
World Class Powersports,B,0-100,100,0-5,Single,Frazer,LightSpeed
World Dealer,,,,,,,
World Exotic and Domestic Auto,no rating,,,,,FEX (FinanceExpress),
World Famous Autos,A,15-Jan,150,10-Jun,Multi,AutoStar,
World Finance LLC,D,15-Jan,20,0-5,Single,None,
World Fine Cars,no rating,,,,,,
World Ford Pensacola,A,175-300,356,,Multi,ADP,
World Group,,,,,,,
World Hyundai Matteson,A,175-300,527,,Single,DealerTrack,
World Imports USA Inc,A,0-100,129,,Single,Delete,
World Jeep Chrysler Dodge Ram,A,,561,,,,
World Motor Cars,no rating,,10,,,,
World Motors,C,16-30,30,0-5,Single,None,
World Of Cars,no rating,,,,,,
World of Powersports - Bloomington,A,0-100,250,0-5,Multi Point,Other,
World of Powersports - Decatur,,,,,,,
World of Powersports - Peoria,,,,,,,
World of Powersports - Springfield,,,,,,,
World of Wheels,no rating,,,,,,
World of Wheels,,,,,,,
World of Wheels,,,,,,,
World of Wheels Autoplex Inc,C,16-30,60,0-5,Single,Other,
World of Wheels Inc. - Ankeny,no rating,,,10-Jun,Multi Point,,
World of Wheels Inc. - Des Moines,A,50+,170,15-Nov,Single,DealerTrack,
Worldpac,,,,,,,
World Subaru-Tinton Falls,no rating,,325,,,,
World Tech Auto Center,,,,,,,
World Trade Autosports Inc,B,31-49,100,0-5,Single,Frazer,
World Trust LLC,,,,,,,
World Volkswagen,A,101-175,162,6/10/2015 0:00,Multi,ADP,
Worldwide Auto Corp Inc,D,15-Jan,,0-5,Single,None,
World wide Auto Group,no rating,,,,,,
WorldWide Auto Inc.,A,50+,700,0-5,Single,DealerClick,
World Wide Automotive,D,15-Jan,30,0-5,Single,Frazer,
Worldwide Auto Sales,no rating,,20,,,,
Worldwide Auto Sales,no rating,,,,,,
Worldwide Auto Sales & Service LLC,no rating,,,,,,
World Wide Auto Sales Inc,,,,,,,
Worldwide Exclusive Motor Grp,no rating,,,,,,
Worldwide Homes,,,,,,FEX (FinanceExpress),
Worldwide Motors - Black Mountain,C,16-30,45,0-5,Multi Point,AutoManager (DeskManager),
World Wide Motors Inc,A,,147,,,,
Worldwide Motors LLC,B,31-49,50,10-Jun,Single,Other,
Worldwide Motors - Mission Gorge,C,16-30,35,0-5,Multi Point,AutoManager (DeskManager),
World Wide Pre Owned Auto,no rating,,,,,,
Worldwide Unlimited Auto Brokerage,no rating,,,,,,
Worldwide Vehicle & Equipment,no rating,,,,,,
Worldwide Vintage Autos,A,50+,150,15-Nov,Single,Other,InfusionSoft
Worley Auto Sales,D,15-Jan,20,0-5,Single,None,
Worley Motors Inc.,D,15-Jan,30,0-5,Single,None,
Worl Thompson Motors,no rating,,50,,,,
Wormans Classic Cars,,,,,,,
"Worrell's Used Cars, Inc",C,16-30,50,0-5,Single,Wayne Reaves,
Worry Free Auto Group,no rating,,,,,Frazer,Frazer
Worthey Truck Sales,,,,,,,
Worth Harley-Davidson,,,,,,,
Worthington Motor Co,,,,,,,
Wow Auto Deals,A,,150,,,,
Wow Car Company LTD,no rating,,,,,,
Woy Brothers Buick GMC,No rating,,64,,,,
"Wratten Trailer Sales, LLC",,,,,,,
Wray Ford Inc,C,,203,,,,
Wren Chevrolet Inc,A,,37,0-5,Single,,
Wren Motor Co.,,,,,,,
Wright's Auto,no rating,,,,,,
Wright's Auto Sales,C,16-30,25,0-5,Single,Frazer,
"Wright's Auto Sales, LLC",,,,,,,
Wright's Auto Sales - Lancaster,D,15-Jan,20,0-5,Single,,
Wright's Auto Sales LLC,D,15-Jan,20,0-5,Single,Frazer,
Wright's Auto Sales - Montoursville,D,15-Jan,20,0-5,Single,None,
Wright's Motor Co.,D,15-Jan,30,0-5,Single,Frazer,
Wright's Motors,no rating,,,,,,
Wright's Used Cars Llc,C,16-30,35,0-5,,None,
Wright Auto Exchange,no rating,,,,,,
Wright Automotive Inc,no rating,,173,,,Reynolds,
Wright Automotive Inc.,No rating,,,,,,
Wright Auto Sales,no rating,,,,,,
Wright Auto Sales,C,16-30,30,0-5,Single,,
Wright Auto Sales,no rating,,,,,,
Wright Autosales Inc,no rating,,,,,,
Wright Auto Sales Inc.,no rating,,,,,,
Wright Auto Sales LLC,no rating,,,,,,
Wright Bros Auto Sales,no rating,,,,,,
Wright Bros Motors LLC,D,15-Jan,,0-5,Single,Frazer,
Wright Buick GMC,B,101-175,316,6/10/2015 0:00,Multi,AutoMate,
Wright Buick GMC of Beaver,B,101-175,134,,Multi,Reynolds,
Wright Buick GMC of Wexford,no rating,,277,,Multi,,
Wright Chevrolet,No rating,,89,,,,
Wright Chevrolet Buick GMC,B,0-100,125,,Multi,Reynolds,
Wright Chrysler Jeep Dodge,B,0-100,189,,Multi,AutoMate,
Wright County Motors,no rating,,101,,Multi,,
Wright County Motors,B,0-100,22,,Multi,AutoMate,
Wright County Trucks,no rating,,10,,,,
Wright Ford,No rating,,56,,,,
Wright Ford Inc,B,0-100,51,,Single,Reynolds,
Wright Hyundai of Wexford,B,,412,,Multi,,
Wright Motor Co,A,31-49,54,0-5,Multi Point,DealerTrack,
Wright Motor Co,,,,,,,
Wright Motor Company Inc,D,15-Jan,15,0-5,Single,None,
"Wright Motors, Inc",no rating,,,,,,
Wright Motors Inc,,,,,,,
Wright Nissan of Wexford,no rating,,447,,Multi,,
Wrights Auto Sales & Service,D,15-Jan,12,0-5,Single,AutoSoft,
Wrights Motor Sales,D,15-Jan,8,0-5,,None,
Wrightway Auto & Cycle Sales,D,15-Jan,10,0-5,Single,None,
